class,conversation
직장 내 괴롭힘 대화,"이과장님 오늘 대체 뭐하셨나요? 창고 정리도 하고 바닥 청소도 했어요. 이게 당신이 한 일인가요? 네, 열심히 일했습니다. 왜 이걸 복사하지 않았나요? 아까 나한테 하라고 말하지 않았지? 아까도 말했는데 못 들었잖아. 당신은 귀입니까? 아니요. 지금 당장 할게요. 새 물을 떠서 마시라 하였느냐? 죄송합니다"
협박 대화,"응, 무슨 일로 나한테 전화했어? 지우개를 훔쳤다고 아이들 앞에서 내 아이를 비난했나요? 그게 아닙니다. 딸이 한두 번이 아니라 여러 번 훔친 것을 확인했습니다. 경찰에 신고하는 것은 너무 가혹한 일이라고 생각해서 그녀를 꾸짖었습니다. 우리 아이가 항상 그 모퉁이 가게에서 물건을 훔치는 것이 확실합니까? 네, 분명 본 애들도 있을 거에요. 괜찮아요. 우리 아이는 울면서 학교를 나갔습니다. 이것을 준비하는 것이 좋습니다. 너도 아이가 있다고 했었지? 내 아이를 거기에 끌어들이지 마세요. 아이가 울면서 들어왔어요. 이겨내지 못하면 네 아이를 죽이겠다. 이러지 마세요 나도 곤란해요 나는 단지 교육을 위해 한 말을 했을 뿐입니다. 그게 다야. 아, 저기 당신 아이가 보이네요. 나는 그를 죽일거야. 당신 아들이 죽은 걸 보면 그때는 반성하겠습니다. 다른 사람을 울게 하면 어떻게 되나요?"
갈취 대화,"형제! 형제! 돈 좀 있어요? 나, 나.? 여기 너 말고 또 누가 있어? 형 얼마 갖고 있어요? 나는 돈이 없습니다. 그런데 내가 왜 네 동생이야? 야, 그 사람은 잘생겼으니까 내 동생이야. 돈 좀 주면 때리지 않을 거예요. 돈 좀 주세요. 당신은 돈이 많은 것 같습니다. 정말 현금이 없어요. 정말. 저를 보내주세요. 내 지갑 주머니에 있어요! 지갑을 확인해도 될까요? 나가면 무엇을 할 건가요? 그냥 나한테 주세요. 정말 하나도 없어요. 죄송합니다. 나는 정말 지갑을 열고 있는 걸까? 내가 이렇게 말하는 게 웃기냐? 미안 지갑에 돈이 하나도 없어."
직장 내 괴롭힘 대화,"김사원 대리, 왜 이러는 걸까요? 오늘까지 이걸 제출해야 해요. 부탁드려도 될까요? 예? 나도 할 일이 많아요. 아니, 도와달라고 하는데 그렇게도 못 하시나요? 나도 도와주고 싶지만 할 일이 너무 많아요. 당신과 나는 얼굴을 맞대고 일해야 합니다. 처리할 수 있나요? 예? 감당할 수 있으면 할 수도 있고 안 할 수도 있습니다. 나는 그것을 할 것이다."
갈취 대화,"저기, 휴대폰 좀 빌려주실 수 있나요? 지난달에는 휴대폰 요금이 너무 비싸다고 엄마가 혼났어요. 당신은 무엇을 알고 있나요? 닥치고 전화기 좀 줘 내 휴대폰을 주면 또 돈을 내는 거겠죠? 네, 게임 캐시가 부족해서 충전이 안 돼요. 바로 나한테 줄래? 그냥 나한테 줄래? 진지하게, 내가 한 번 더 돈을 내는 것이 적발되면 내 휴대폰을 빼앗길 수도 있습니다. 아, 오늘 왜 그렇게 말이 많아? 바로 말해볼까? 제발."
갈취 대화,"잠깐만요, 거기 학생이세요? 나한테 전화했어? 그렇다면 누구입니까? 왜 나한테 전화하는 거야? 지갑을 잃어버렸는데 돈이 없어요. 돈 좀 있어요? 아니요, 현금이 없어요. 주머니에 있는 것을 열어보세요. 이것은 불가능합니다. 나는 그것을 결정할 것이다. 나에게 주세요. 이것은 내 돈이 아닙니다. 나한테 주지 그래? 히트를 원하시나요? 정말 내 돈이 아니다."
갈취 대화,"얼마나 가져왔나요? 100,000원 ??정도. 야, 이걸로 어떻게 새 휴대폰을 살 수 있지? 이것이 최선의 선택이었습니다. 그럼 최선을 다해 그를 때리자, 제발 때리지 마세요! 그러면 내일까지 3배로 만들어라. 어떻게 합니까? 아, 그건 생각해봐야 해요. 말도 안 돼요."
기타 괴롭힘 대화,"야, 이마에서 빛나고 있지? 야, 한 번만 때리자. 퍽. 아, 검정색. 왜 그렇게 아팠나요? 빛이 있어서 노크했어요. 가만히 있어라. 야, 두드리면 열릴까? 빛이 열리나요? 무슨 얘기를 하는 건가요? 나에게서 떨어져. 왜 그렇게 슬퍼합니까? 친구 사이에서는 미쳤어요. 제정신이에요? 이야, 반짝반짝하다. 이마가 너무 예쁘네요. 블랙, 다크, 블랙."
직장 내 괴롭힘 대화,"나치 정수기 물탱크 좀 바꿔주실 수 있나요? 나는 그것을 좋아하지 않는다. 물을 마시는 사람은 나뿐만이 아니지만, 매번 물을 마시는 사람은 나뿐이다. 나씨는 우리 부서의 유일한 남자 직원이다. 그럼 저는 근로자가 아니고 근로자입니다. 그럼 안 하겠다고 하던데요? 그게 아니고 매번 물통을 갈아주고 짐을 나르는 사람이 나뿐이라 억울하다는 뿐입니다. 나씨는 남자 직원이니까 우리 여자 직원들보다 힘도 세고 밥도 더 많이 먹는 것 아닌가요? 저는 그 정수기를 거의 사용하지 않습니다. 나는 물을 가지고 다닙니다. 하, 그런데 과연 이 팀에 잘 적응할 수 있을까? 나를 괴롭히려는 겁니까?"
갈취 대화,"당신은 지난번에 친구의 지갑에서 돈을 훔쳤습니다. 왜 지금 그런 말을 하는 걸까요? 이봐요, 다 터지기 전에 좀 주세요. 내가 왜 그것을 당신에게 주어야 합니까? 다 터진다고 하던데요? 당신이 돈을 받은 주인과 다른 모든 사람에게? 비용은 얼마입니까? 10만원만 주세요. 아, 나 지금 10만원도 없어. 터질 것 같나요? 내일까지 드리겠습니다."
기타 괴롭힘 대화,"생선 기름, 파리, 썩은 계란 냄새는 어디서 나오나요? 사람 냄새가 나지 않네요. 뭐라고 하셨나요? 이봐, 이 바보야. 그대로 두십시오. 아마도 당신이 짜증을 내기 때문일 것이다. 너도 싸우고 싶니? 비난을 받아서 화가 났나요? 왜 나한테 장난하는 거야, 이 개자식들아, 난 널 별로 좋아하지 않으니까."
협박 대화,"저를 팔로우하는 것을 중단해주세요. 제발, 만나고 싶으면 찾으러 가야 해요. 헤어지자. 이것은 스토킹입니다. 나는 아직 당신과 헤어지지 않았습니다. 일방적으로 말씀하셨네요. 저를 놓아주실 수 있나요? 내가 언제 당신을 괴롭힌다고 말했습니까? 다 내가 당신을 사랑하기 때문이에요. 우리집 비밀번호는 어떻게 알았어? 들어가는 걸 봤어요. 남친이 그렇게 많이 안 보나요? 당신 집에 또 다른 남자가 숨겨져 있다고 생각하시나요? 그만하세요. 아니요. 정신질환 의심으로 헤어진 건가요? 정신병? 이 새끼가 말이라도 했어? 치트를 하려면 적어도 한쪽 다리를 부러뜨려야 합니다. 어서 해봐요"
기타 괴롭힘 대화,"여기요. 가난한 사람들! 너희 집이 저기 판자촌에 있다고 들었어? . 판자촌이란 무엇입니까? 저기 왜 집들이 다 무너져요? 유령의 집처럼 다 헐렸나요? 어린. 유령의 집은 무너지지 않습니다. 그들의 집에는 아마도 천장에 구멍이 있을 것입니다. 추워서 아마 이불을 덮고 집에 있을 것 같아요. 나는 얼어 죽지 못했습니다. 추워서 걱정은 안되는데 그게 무슨 말도 안되는 소리입니까? 거지친구야 핫팩 하나 줄까? 추운데, 이런게 있으면 더 좋지 않을까요? 한숨을 쉬다. 와, 사려깊은 것 같아. 굉장해요. 저도 쓸 일이 있어서 저녁까지 쓸 수 있어요. 제가 사용한 것은 내일도 드릴테니 꼭 가져가세요. 주고 나니 부끄러우니 어떻게 해야 하나요? 얼굴이 빨개지네요. 그런 새끼라는 자부심이라도 있는 걸까요? 글쎄, 당신은 거지가 되는 것을 피할 수 없습니다."
기타 괴롭힘 대화,"여보, 생활비 좀 주세요. 아니, 이 빌어먹을 아내는 입만 열 때마다 돈을 요구하고 있다. 아이들 학원비 때문이에요. 아이들을 위해 변명하지 마세요! 나는 아무것도 입지도, 사용하지도 않습니다. 거짓말하지 마, 내 배는 정말 설레요, 자기야. 그러지 말고 생활비 좀 주세요! 더 이상 뱃살이 보기 싫어서 드릴 수가 없어서 정말 먹을 것도, 쓸 것도 없어요. 저를 믿으세요. 이 여자한테서 떠나라 너한테 사랑이 빠졌어"
협박 대화,"조용히 살라고 했는데 이 사람이 장난을 친다구요? 그러지 마세요. 그건 정말 당신 잘못이에요. 야, 내가 틀렸다고 해도 무슨 소리야? 왜 이걸 신고하는 거죠, 마네? 왜냐하면 그것은 나쁜 일이기 때문입니다. 당신은 경찰입니까? 음? 경찰도 아닌 놈이 남의 일에 간섭할 수는 없잖아요. 그러나 그것은 사실이 아닙니다. 아, 이 외곬 놈은 입술이 터질 정도로 얻어맞고도 아직 정신을 못 차리고 있구나. 아직 뇌가 터지지 않았기 때문일까? 제발. 여기서 멈추면 나도 조용히 할게. 야, 조용히 있어도 상관없어, 그냥 이빨 깨물면 나가버릴 거야, 이 새끼야, 제발 그만둬."
갈취 대화,"돈을 빌렸으면 갚아야 합니다. 죄송합니다. 조금만 더 시간을 주세요. 왜 나야? 나는 자선가인가? 나는 내가 진지한 사업가라는 것을 알고 있습니다. 부탁 좀 해주세요. 이제 얼마 남지 않은 것 같네요. 나는 정말로 파산했다. 한번 살펴보세요. 나 아직도 그 차 갖고 있지? 정말 그것뿐이에요. 그럼 그 정도는 나한테라도 줘야지, 내가 남한테 돈 빌려서 편히 운전할 수 있게? 여기저기 돌아다니며 제 돈을 가지고 갚아야 하는데 이자가 너무 높네요. 그럼 슬플 때 빌려서 이제 그냥 죽이는 건가요? 웃기지 마세요. 그건 제가 가져갈게요."
기타 괴롭힘 대화,"아이스크림을 먹어도 되나요? 먹을 수는 없나요? 그만해요. 당연하지, 넌 공부도 잘 못하는 새끼야. 야, 닭머리가 말을 하네. 동물농장으로 가자. 학교폭력으로 신고하기 전에 그만하세요. 아, 무서워요. 도와주세요. 아, 가주세요. 저라면 아이스크림 먹으면서 공부할 거에요. 멈추다! 그렇기 때문에 나는 두들겨 맞는다."
갈취 대화,"와, 기분 좋을 때 방해해서 미안해요. 이 사람은 누구입니까? 이 사람이 갑자기 쉿쉿거리고 있어요. 사장님, 너무 흥분하지 마세요. 나는 이 여자의 형이다. 하지만 안타깝게도 그는 아직 18세가 되지 않았습니다. 무엇? 저것. 그게 뭐가 문제야? 우리 회사. 내 사랑 하하하 이 사람 참 웃긴 사람이네요. 아, 제가 한 번 실수한 것 같은데 용서해 주세요. 용서해주세요. 나는 모든 것을 용서할 것입니다. 그런데 필요한 게 있어요. 아내 전화번호는 몇 번이었나요? 돈이 필요하면 내 주식을 팔아주세요. 사장님이 소유하고 은행이 있는 건물을 기억하시나요? 어떻게 합니까?"
기타 괴롭힘 대화,"나를 따라하고 있다는 말씀이신가요? 나? 나는 당신을 따르지 않습니다. 그것은 무엇입니까? 여기에 모든 사진이 있습니다. 당신은 내가 누군지 모르죠? 정신을 차리려면 한 번 잡혀야합니까? 아니, 나. 나는 정말로 그렇지 않습니다. 이건 내가 아니야. 당신은 아이입니까? 최선을 다하겠다고 하더군요. 정말 내가 아닙니다. 나는 이런 곳에 가본 적이 없습니다. 이봐요, 당신이 내 남자친구랑 바람피웠다고 거짓말하지 마세요. 다 듣고 이런 말을 했죠? 정말 내가 아닙니다. 나와 꼭 닮은 앤을 보세요. 이봐, 그것에 대해 다시 뭔가를 해보자. 아이들아, 제발 이러지 마세요. 선생님께 말씀드릴께요."
기타 괴롭힘 대화,"야, 너 00고등학교에 배정되어서 어떻게 된 거야? 00고등학교는 왜 저럴까요? 거기에 넣은 사람은 바로 당신이에요. 애들은 다 바보 아니면 일진이라고 하는데 나에겐 그런 게 중요하지 않다. 어차피 공부도 잘하니까 상관없어요. 친구들도 다 공부 못하는 아이들이고 그냥 노는 아이들이에요. 나는 그들과 놀지 않을 것입니다. 나는 혼자있을 것이다. 너도 그들처럼 엉망진창이 될 거야, 그렇지? 나는 고등학교에 가서 집에서 잘살고 공부 잘하는 친구들도 많이 사귀고 할 건데 너는 어때? 내 인생이 망가졌어, 그만둬."
기타 괴롭힘 대화,"안녕하세요 손병신님. 아래에. 한숨 쉬셨나요? 안녕하세요 손병신님. 그렇게 부르지 마세요. 무엇? 그들은 멍청이를 멍청이라고 부릅니다. 그렇게 말하지 마세요. 이봐, 바보야. 똥을 손으로 어떻게 청소하시나요? 그런 말은 하지 마세요. 이 사람이 당신에게 말대답하고 있나요? 아, 때리지 마세요. 윽, 바보야!"
직장 내 괴롭힘 대화,"내가 당신에게 이 말을 해야 할 나이가 몇 살입니까? 죄송합니다. 기본사항조차 설치되지 않은 경우에는 어떻게 되나요? 죄송합니다. 미안하다는 말 듣고 싶지 않아서 제대로 못 하게 된 걸까? 다음에 바로 할게요. 계속 이러면 다음은 없을지도 모르니 제대로 해주세요! 네, 정말 죄송해요. 요즘 젊은이들은 집에서 다시 교육을 받아야 할 정도로 문제가 많다. 죄송합니다"
갈취 대화,"아, 나 오늘 지갑을 안 가져왔어. 5만원만 빌려주세요. 지난번에 빌린 돈을 아직도 안 갚았네요. 급한 일이 있어서 오늘 만들어서 바로 전해드리겠습니다. 당신은 약속을 지키지 않지만 나는 그것을 당신에게주고 싶지 않습니다. 우리 사이에 무슨 일이 일어나고 있는 걸까요? 아. 나에게는 정말 힘든 일이다. 이번 한 번만 주시면 다시는 달라고 안 할게요. 그만하세요. 앞으로는 귀찮게 하지 않을게요. 이번 한 번만 나한테 주세요. 이번이 마지막입니다."
직장 내 괴롭힘 대화,"팀장님, 오늘 당번이신가요? 하지만? 아, 모든 직원에게 부모님에게 문자 메시지를 보내달라고 부탁해도 될까요? 비서가 하는 일이 아닌가요? 아 그렇군요 그런데 주말이니까 당직자한테 해달라고 하는 거에요. 문자 메시지를 보낼 수 없습니다. 꼭 와서 해야 해, 알았지? 못 들었어? 당신이 와서 보내세요. 주말이라 사무실까지 오는데 시간이 좀 걸리니 한번만 보내주세요. 그건 당직자가 해야 할 일 아닌가요? 아, 그건 모르겠어요. 당신이 와서 나를 놓아주든지, 아니면 전화를 끊든지 하세요."
기타 괴롭힘 대화,"왜 내 사진을 합쳐서 프로필 사진을 만들었나요? 이게 왜 당신이에요? 좋아요. 이렇게 얼굴과 몸을 합친 이유는 무엇일까요? 얼굴이 좀 비슷하죠? 예상치 못한 일입니다. 일부러 나를 놀리려고 이런 짓을 한 건가? 그리고 타인의 사진을 가지고 이런 짓을 하는 것은 불법인가요? 아 그래요 그래요? 내가 이런 짓을 했다는 증거가 있나요? 다른 사람이 내 휴대폰으로 그랬을 수도 있어요. 그런 다음 사진을 삭제하십시오. 싫어요?? 웃기네요, 돼지같지만 좋아요. 아, 그리고 돼지 얼굴에 돼지 몸을 붙이는 게 잘못인가요? 무엇? 돼지? 당신은 당신이 말하는 것에 대해 정말로 선택적입니다. 돼지 아닌가요? 걸을 때마다 끙끙거리는 소리가 난다."
갈취 대화,"나한테 줘, 나한테 없는데 뭘 주는데? 검색해서 나온다면 어떻게 해야 하나요? 검색해서 안나오면 별 방법 없습니다. 회사에 가거나 집에 가서 가져와야 합니다. 이러고 싶지 않은데 정말 죽고 싶은 걸까요? 내가 왜 죽어가고 있는 걸까? 아, 미친년아, 정신 못 차리려면 때려야 해. 얼마나 필요합니까? 이제 정신이 들었나요? 얼마나 필요합니까? 100,000을 가져오세요."
협박 대화,"당신이 내 돈을 훔쳤죠? 아니 내가 왜 네 돈을 훔치고 사라진 거지?? 지갑에 돈이 있나요? 분명 제가 아닌 다른 곳에 흘렸을 겁니다. 하, 웃고 계시군요. 집이 너무 가난해서 내가 도둑이었다고? 아, 도둑이 자랑스럽게 눈치채셨나요?? 나는 정말로 그렇지 않습니다. 너 같은 년은 손목이 부러지지 않는 이상 다시는 물건을 훔칠 수 없지, 그렇지? 내가 아니야!!! 큰 소리를 내지 마십시오. 짜증난다. 손목이 아프고 입을 막고 있으면 정신이 차리겠는가?"
직장 내 괴롭힘 대화,"조선생님 이것 좀 해주세요 알겠죠? 나한테 전화했어? 그럼 여기 당신 말고 또 다른 사람이 있나요? 그런데 직장에서 저를 그렇게 부르는 게 좀 이상해요. 그럼, 존댓말로 불러볼까? 일을 제대로 하세요. 네, 이해합니다. 나중에 직장으로 돌아와 쓰레기를 버리세요. 치료실이 너무 더러워요. 나 혼자 하기에는 너무 어려운 일이다. 그러면 늙으면 어떻게 해야 합니까? 알겠습니다. 남겨 두겠습니다."
기타 괴롭힘 대화,"이번에는 약속한 만큼 못 받았나요? 0.1로 짧았습니다. 그래도 나는 그것을 벗을 수 없었다. 돼지야, 어떻게 그렇게 많이 벌 수 없니? 나도 노력했고, 나도 노력했다. 안 되는 일을 어떻게 합니까? 나는 그것을 케이크 조각으로 받아들이기로 결정했습니다. 돼지는 왜 이상한 소리를 내나요? 나는 돼지가 아니다. 더 열심히 하면 더 예뻐질 거예요. 돼지는 열심히 일하면 더 예뻐진다고 하더라고요. 돼지가 예쁘면 아무리 예뻐도 다 똑같거든요. 돼지가 아니기 때문이죠. 그러지 마세요, 내 동생인 게 부끄러워요. 돼지돼지돼지야, 나를 아는 척 하지 마. 난 당신이 싫어요, 형제."
갈취 대화,아! 여자가 이렇게 운전하면 어떻게 해야 하나요? 예? 무슨 일이야? 그녀는 주차하는 동안 내 오토바이를 쳤습니다. 무슨 뜻이에요? 차가 주차라인 안에 잘 들어와있습니다. 여기를 보세요. 내 오토바이는 이렇게 누워있습니다. 그 여자 차가 내 오토바이를 들이받았어요! 그런 말도 안돼! 경찰에 신고해도 되지만 이곳은 또 호텔 주차장입니다. 저렴하게 처리해 드리겠습니다. 하나 50? 어때요? 말도 안되는 소리를하지 마십시오. 그럼 경찰에 전화하고 보험회사에 전화하고 그 여자 남편한테 전화해야 하나? 다음주부터 남편과 함께 운전연습을 받을 수 있어요. 이것은 완전한 사기입니다.
직장 내 괴롭힘 대화,"이번에 육아 휴직을 하려고 합니다. 당신은 남자입니다. 이게 무슨 육아휴직인가요? 아내는 혼자서 힘든 시간을 보내고 있습니다. 그러니까 너만 힘든 것 같아. 그런데 회사의 혜택 중에 유급휴가 제도가 있어요. 예, 사용하실 수 있습니다. 시도해 보세요. 무슨 뜻이에요? 휴가를 내고 돌아와서 자리가 있는지 알아보는 것이 너무 불공평하다고 생각합니다. 지금 당장 그만두는 게 어때요?"
기타 괴롭힘 대화,"야 재형이 미친놈이 보고 재형 더럽다고 ㅋㅋㅋ 아래에.? 야 개자식아 기분은 더 나쁘다. 존재 자체가 귀찮은 놈이다. 야, 재형아, 나한테 개자식이라고 부르지 마. 나를 개자식이라고 불러서 미안해요. 네, 죄송합니다. 이제 그만하세요. 당신은 틀렸어요. 그렇구나, 현우야, 계속하자. 아무 이유 없이 심하게 건드리면 큰일 나니까 나중에 적당히 건드리자. 아니, 당신은 재미있는 놈입니다. 나를 나쁜 사람으로 만들고 있는 걸까? 그런데 당신은 나에게 무엇을 명령하는 겁니까? 야 현우야 적당히 하자. 내가 그 더러운 놈을 건드리면 우리만 착한 사람으로 고통받게 된다. 인내심을 가지십시오. 아, 적당히 하라고 하더군요. 내가 범죄를 저질렀으니 계속 말하지만 어서 이 새끼는 미쳤어. 퇴근 시간에 뵙겠습니다. 나는 먼지에 맞을 준비를하고 있습니다. 이 새끼의 중학교 생활이 망가졌어. 당신은 잘못된 사람과 장난을 쳤습니다. 나도 성적표 점수가 내려갈 준비를 하고 있다."
기타 괴롭힘 대화,"야, 내 민호 좀 봐. 그는 팔이 하나뿐입니다. 얘들아, 그 사람을 놀리지 마라. 야, 나를 놀리려는 게 무슨 소리야? 나는 당신을 놀리는 것이 아닙니다. 나에게는 당신이 나를 놀리는 것처럼 들릴 뿐입니다. 이 놈을 쫓아가고 싶나요? 갑자기 왜 이러는 걸까요? 이봐, 너 때문에 화난다. 젠장, 아니, 당신이 나를 놀리는 것 같아요. 야, 내가 널 놀리는 게 아니라고 몇 번이나 말해줘. 한 번 더 나에게 말대답해 보세요. 다음번에는 내가 당신을 죽이겠습니다. 응, 미안해."
갈취 대화,"야, 좋은 말 하면 놔둬. 이건 아버지가 사주신 거예요. 아니요, 그냥 빌릴게요. 빨리 벗고 가세요. 아, 정말 할 수 없어요. 야 내가 그렇게 쉬운가? 두고 가세요. 제발, 바보처럼 굴지 말고 내가 가진 모든 것을 나에게 주세요. 돌려주세요. 나한테 뭐라도 돌려줘, 이 바보야. 아니요."
