class,conversation,synthetic
2,너그 또 그랫다며 ? 무슨 소리시죠 ? 다 소문났어 제대로 얘기를 해주셔야 할죠 말귀 못알아 듣는건 여전하구나 선배님 너가 길동한테 꼬리쳤다며 카풀하자고 제가 먼저 제안한거 아닙니다 헛소문 내지 말아주세요 내가 위지 너가 위니 ? 어디서 하라 말아야 부탁드려요,no
4,차가 고장났어. 왜 그렇게 자주 고장나는 걸까? 자동차점 가서 점검할까? 아니면 전체 교체할까? 먼저 점검해보고. 그렇다면 교체해야 할 수도 있겠어. 교체할 경우에는 신용카드나 현금으로 어떻게 결제할까? 혹시 추천해주는 곳이 있니? 신뢰할 수 있는가요? 자동차점에 가서 상담사와 이야기해보자.,topic
4,왜 이렇게 생겼지? 내 돈이 다 여기 있었는데... 어제 카페 가서 돈을 뱅뱅 주었던 것 같아. 그럼 지갑 좀 봐야겠지. 여기서 또 다른 돈 있으면 좋겠어. 지갑 분실로 돈 많이 날려버리네. 앞서금으로 돌려보는 게 어렵겠군.,topic
1,저기요 제가 그정도 돈은 없는데. 아 선생님 그럼 몸캠이 공짜인 줄 아셨어요? 그냥 서로 합의해서 그런거잖아요. 오늘자정까지입니다. 그때까지 입금 안하시면 선생님 지인들에게 사진 배포들어갑니다 아니아니 그러니까 제가요 안 드리겠다는 건 아닌데. 좀 깎아주시면. 이게 지금 깎아드릴일일까요? 창녀를 사도 비용을 지불하고 야동을 사도 비용을 지불해요. 그게 자본주의사회인데 돈 천이면 싸게 먹히는 거죠. 야! 너 내가. 내가 신고할꺼야. 어허 선생님. 어디 신고해보세요. 그거 다 해킹이야. 해킹이잖아. 선생님 가족 직장동료 친구분들이. 선생님의 알몸보는거예요. 서로 원만히 합의하는게 낫지 않겠어요.?,no
1,야. 내가 공책을 다 써서 그런데 말이야. 응? 왜? 너 공책 좀 빌려줄 수 있을까? 아. 아니. 미안 왜? 나 거기 필기가 다 되어있어서. 장난해? 이건 부탁이 아니라 명령이야. 너 니 동생 여기 학교 다니지? 응. 동생 망치고 싶지않으면 내놔! 돌려줘!! 응 꺼져,no
3,저기 이걸 지금 에이드라고 판매하는거에요? 네 무슨일이신가요? 아니 사이다가 원래 이렇게 달아? 대체 설탕을 얼마나 넣었길래 그러냐고 죄송합니다 손님. 사이다는 완제품으로 나오는 거라 저희가 단맛을 추가하지 않는이상 시중에서 마시는 맛 그대로 입니다. 머라고? 지금 나랑 장난해? 죄송합니다 손님 됐고 환불해줘 네? 이미 다드신 음료는 환불해드리기가 좀 어렵습니다. 머라고? 여기 사장 누구야? 사장 누군데 직원교육을 이따위로 시켜 여기 폐업하게 해줘? 죄송합니다 손님. 환불해드리겠습니다.,no
2,민정씨 다음주에 저 지방 출장있는 거 알죠? 예 알고 있습니다. 내가 개인적으로 일이 좀 생겼는데 대신 가줄 수 있어요? 네?아 저도 그 날 일이 좀 있어서 안될 것 같습니다. 아 그 일 다음번으로 미루고 대신 좀 가주세요 죄송해요. 저도 중요한 일이라서요. 회사일보다 중요한 게 있나요? 죄송합니다. 그렇게 나오신다 이거죠? 상사 부탁인데도? 부장님 왜 그러세요. 됐습니다 가지 마세요. 앞으로 회사 생활하는데 많은 어려움이 있을겁니다. 부장님. 이 부탁을 거절한 걸 후회하게 만들어드리죠,no
4,"는 할아버지와 함께 학교에서 한 번 더 그린 성적을 확인하고 싶어요? 네, 나도 한 번 확인해보겠습니다만, 이 시간이 너무 오래되네요? 네가 맞았으면 좋겠죠? 그럼 너에게서 점수도 잘 받았는지 물어볼게요. 다들 제일 나서서 내일까지는 괜찮다고 하더라고요. 나도 그럼으로써 마음이 편안해질 것 같아요. 하지만 지금 상황에서는 목숨이 걸려 있잖아요. ? 정말 안정적인 삶을 살고 싶으니까, 앞으로는 조금씩 차근차근히 계획을 세우면 되겠죠? . 네, 그럼부터 시작하겠습니다! . 그리고 저도 함께 도와드리겠습니다. . 우리 함께 노력하면 좋을 거예요. .?",keyword with persona
1,야 뭐냐? 네? 나 쳤냐? 죄송합니다. 죄송하면 다야? 보상을 해야 할 것 아냐? 죄송해요. 한 번만 봐주세요. 됐고 돈이나 계좌이체해줘. 돈이. 없어요. 학원비 내야 해요. 그건 니 사정이고. 계좌에 돈 많네 고맙다. 안돼요 돌려주세요.,no
0,당장 암호를 말해. 크윽. 날 풀어줘! 암호를 말하라고. 오른팔을 영영 잃어버리고 싶은가? 윽. 암호라니. 난 절대 모르는 일이야. 기관의 암호를 그곳의 총책임자인 자네가 모른다는게 말이 되나? 무슨일인지는 모르겠지만. 아무튼 난 모른다. 허. 그럼 손가락 하나부터 자르면 좀 기억할려나? 크윽. 아무튼 난 절대 알려줄 수 없다. 아무튼 잘 생각하라고. 오른팔이냐 기관의 미래냐. 크윽.,no
2,김대리는 다리가 예뻐 아닙니다. 응? 피부 부드러운거봐 부장님 하지마세요. 아니. 딸같아서 그래 좀 불편합니다 아니. 김대리. 섭섭하게 왜 그래? 그. 나 왜 성범죄자 취급해? 어? 박사원 이거 내가 잘못한건가? 그게. 입이 있으면 말을 해봐!,no
4,야식 먹을지 말지 고민 아 요즘 바쁠라면 집에서 요리해도 괜찮을까? 나머지 시간에는 어디 가고 싶은지 고민 중이야. 집에서 맛있는 한식 먹으면 어떨까? 그럼 친구들과 같이 나가서 야식을 먹으면 어떨까? 어떤 선택을 하든 좋은 주말이 될 거야.,topic
3,배달왔습니다! 아 배달이네 배달온거 저기 냉장고에 넣고 넣는 김에 냉장고도 정리해. 저희는 배송만 해드리지. 저희가 냉장고 정리까지 합니까? 하라면 할것이지 무슨 말이 이렇게 많아. 여기말고도 배송할 곳이 많은데 저희가 어떻게 합니까? 아 됐고 빨랑 정리해. 이건 확실히 저희가 못해드리는 겁니다. 내 돈 받아가면 이 정도는 해야지. 안되는 건 안되는 겁니다. 아 됐고 장사 방해되니까 빨랑 정리해.,no
4,배는 정말 맛있게 구워졌어. 오늘 저녁 메뉴로는 배를 해치게 할까? 그럼 바삭하게 구워보는 건 어떨까? 내가 구워준 배는 꼭 맛있게 드세요. 그럼 내부에 간을 넣어서 드실래요. 배와 함께한 저녁은 정말 최고일 거야.,keyword
0,제대로 안하지? 일단 미안해 사과할게 필요없고 오늘 안으로 보내 혹시 내일까지만 기다려 줄 수 있을까?진짜 미안한데 오늘까지는 힘들것같아. 죽고싶냐진짜 친구 죽는거 원하면 그럼 오늘 밤까지라도 안될까?친구는 제발 건들지 말아줘 약속대로. 이거 하나만 부탁할게 원하는거 다 해줄게 그니까 이것만 하면 되잖아 친구 살아있다는 것만 보장해주라 그건 니가 보내고 나서 확인하고. 수틀리면 니 친구 팔 잘라서 인증할게 최대한 노력할게 조금만 기다려줘 중간에 연락 끊기면 뒤진다,no
0,여보 어제 어디있었어 나 야근했다고 했잖아 어제 다른여자 만나고온거 모를줄알아? 뭔소린지 모르겠는데 다신 바람안핀다더니 또 그새 바람피우냐 너 내뒤캐고다니냐 내가죽든 니가죽든해야 정신차릴래? 니가 뭘들었는지 모르겠는데 바람핀거 아니야 자꾸 이런식으로하면 확 너죽이고 뛰어내릴거야 나도 야 니가 죽이든말든 알아서해 나는집나가야겠다.,no
0,어이 아가야 네.? 누구세요 . 아저씨.? 아 나 니네 아빠 친구야. 많이 컸구나? 아빠 친구요.? 안녕하세요.! 그래 그래. 근데 너네 아빠가 왜 그러시는 지 모르겠는데 아저씨를 피하네? 아빠가. 요즘 바쁘신지. 제가 말씀드려볼게요.! 그래. 착하지. 아빠한테 가서 전해드려. 당장 내 눈앞에 나타나지 않으면 다시는 이쁜 딸 못본다고. 네.?저요.? 너랑 니네 아빠랑 물 속에 빠져서 시체가 팅팅부어서 형태도 못알아보게 만들기 전에 가서 전하라고! 흐윽. 아저씨 . 왜. 왜이러세요.,no
4,가격 비교 상담 아 최근에 어떤 제품을 구입하셨나요? 저거 인터넷 쇼핑몰에서 비교해서 구매했어요. 그럼 그 제품보다 저렴한 것 같네요 제가 알아보면 도와드릴까요?,topic
1,김대리! 스카프 샀어? 네네 너무 이쁘다 비싸보여 월급 받은 기념으로 하나 샀어요 줘봐줘봐 네? 나도 어울리는지 해보게 네네? 말귀 못알아먹어? 여기요 어머 나한테 너무 이쁘다 네. 김대리 내가 오늘만 사무실에서 하고 퇴근할때 줄게 네?? 싫어?? 아니요.,no
1,와 멋잇다 이 헬멧 누구세요? 누군데 남의 오토바이 앞에 서계세요 아니 멋져서 구경좀 했는데 아네. 그럼 가볼게요 아니 형아 이거 형아 헬멧이야? 네. 나도 갖고싶다 좀 써보도돼? 안됩니다 안돼? 내가 이 헬멧으로 형아 머리 날려도 안돼? . 그러지마십시오,no
0,내돈 언제 갚을거야? 금방 갚는다고. 좀 기다려주면 안돼? 원래 돌려주기로한 기간에서 벌써 3개월 지났어 다음달에 월급타면 줄게. 쪼잔하게 뭐? 쪼잔? 고작 100만원 없어서 돈빌리고 일갚는 주제에 말이 심하다 너 더 심한 말해줘. 다음달에도 안주면 니 이빨을 다 뽑아버릴거야 알겠어 갚는다고 명심해. 마지막 경고야. 진짜 갚을게. 마지막으로 양해해줘.,no
1,철수야 갑자기 무슨 일이야? 아니 너도 알지? 뭐를? 우리엄마 지금 병원에 입원했잖아 아 알지. 괜찮으셔? 아니수술 하셔야하는데 내가 지금 돈이 없네. 아빠도 연락도 안돼 어그래? 안됐다 그래서 니가 좀 도와주라 나 돈좀 빌려줘 나 돈 없어 왜그래 아마추어같이 너 새끼 돈 많은거 이미 알사람 다 아는데 맞고 줄래 그냥 줄래? 진짜 엄마가 아프시긴 한거야? 그거까지는 니 알바 아니고 돈이나 주라,no
3,야 찐따 응. 가서 빵좀사와 지금? 그래. 우유도같이 돈은? 니돈으로사 임마 지금 돈이 없는데 어쭈 죽을래 미안해.,no
1,찐따야. 오늘은 빵 심부름 안 하냐? 어어. 철수야. 네가 아무 말 없길래 오늘 급식은 맛있게 다 먹은 줄 알았어. 찐따가 쉬는 날이 어딨냐? 빨리 매점가서 초코빵 다섯 개 사와. 다섯개씩이나.? 그럼 돈 줘. 야 찐따. 상황 파악 잘 못하냐? 당연히 너 돈으로 사와야지. 너 집에 돈 많잖아. 심부름 시킬 땐 항상 돈 줬었는데. 아 진짜. 야 그냥 내가 사먹을테니까 돈 내놔. 며칠째 용돈을 못 받아서 돈이 없어. 미안해 한개도 제대로 나오는 게 없구만. 야 꼭 우리가 가방 뒤져야겠냐? 아 안돼! 그건 내 학원비야!,no
4,"선배님, 오늘 자료 준비한 내용이 잘 보였어요? 네, 잘 보았습니다. 기획안이 나와서 정말 좋네요. 감사합니다. 하지만 몇 가지 조언을 드릴게요. 먼저, 데이터는 더 구체적으로 정리해야 할 것 같아요. 맞아, 그 부분을 어떻게 하셨나요? 예를 들어, 최근 한 달 동안의 통계를 함께 분석하고, 이에 대한 결론을 제시해보면 좋겠죠. ? 그럼, 어떤 결론이 될까요? 그리고, 이 결과를 바탕으로 정책적 접근 방식을 제시하면 됩니다. 예를 들면, 특정 문제 해결책을 도출하거나, 향후 계획을 세우는 데 도움이 되겠죠? . 그건 다들 이해했는데, 다른 점 하나 더 있으신가요? . 네, 또 다른 중요한 것은 시간 관리를 잘 해야 해요. 각 항목을 체크로 만들어서 정기적으로 검토하는 것이 중요해요. . 알겠습니다. 그러니 부터 체크리스트를 만들어 보겠습니다. 감사합니다! 고마워요! 좋은 하루되세요.",keyword with persona
1,와 나 오늘 소개팅 나가는거알지? 아 그래? 좋겠다 아니 근데 그쪽에서는 내가 좀 사는줄 알더라고 아 그럼 어떡해? 그래서 친구 좋다는게 뭐야 일부러 내가너 만나러왔잖아 어? 니 차좀 몰고나갈게 내차를? 가족들한테도 안빌려주는데 나는 가족이 아니라 친구니까 되지?? 안되는데. 너 고등학생때 개쪼다 병신인거 제수씨도 알아?내가 말해줘? 왜그래. 애들한테 쳐맞고 코피 질질나서 무서워서 오줌지리던것도 알고? 빌려줄게,no
2,어머머 강대리봐 요즘 부쩍 이뻐지네 뭐 만나는 사람 있나 안그래도 요즘 소문 돌잖아요 양다리니 뭐니 그러니까 간도 크지 양다리를 회사 내부에서 저기요 일이 그렇게 없어요? 가서 일이나 하시죠 어머 강대리 다 들렸어? 작게 말한다고 했는데 네 다 들렸구요 그런 일 없으니까 똑바로 아세요 에이 그래도 아니땐굴뚝에 연기나겠어 막말로 내가 그러던 말던 뭔 상관인데요 어머 얘 당돌하네 당연히 상관있지 급떨어지게 하 쟤가 양다리라는 증거있어요? 증거도 없으면서 증거? 증거는 없지 난 그냥 니가 싫거든,no
1,친구야. 잠시만 이리와보자 네.? 저요? 그래. 너말고 누가 있니. 네. 왜 그러세요. 너 그 신발 비싼건데. 나도 신어봐도 될까? 신발이요.? 이거 엄마가 사준거라서. 그걸 내가 몰라서 물어? 달라는 게 아니잖아 아. 넵. 음. 신발 이쁘다. 다음주까지만 빌릴게 네.,no
4,장난감은 어릴 때 가장 좋아했던 것이었어요. 이제는 아이들이 더 많은 장난감을 가지고 있지만 여전히 어린 시절의 행복을 생각하면 좋겠네요. 그때의 장난감 중에는 소방차와 공무원 자동차가 가장 인기가 있었어요. 소방차는 소방관의 얼굴이 뚜렷하게 새겨져 있어서 더욱 매력이었죠. 최근에는 키트 장난감도 많이 보이는데 키트를 사용해 직접 만든 장난감은 정말 재미있었어요. 저희 집에는,keyword
0,너는 여기에 와서는 안되는 사람이야 알고 있지? 애들 수학과외한게 죄인가요? 학력은 거짓말이여도 그래도 애들 성적이 오르면 좋은거 아닌가요? 학력위조 주제에 무슨 말이 많어. 그러고도 니가 뻔뻔하게 입을 나불거려? 그래서 금액면에서는 다 환불해드린다고 했잖아요. 돈이 필요하지 않아. 너 같은건 이 세상에 있는게 죄야. 제가 다 잘못했어요 살려주세요. 어떻게 죽이지? 이년을 목을 날리기에는 재미가 없는데 다신 앞에 안나타날게요 살려주세요. 너 같은건 없어져야 한다니까 어딜 나대 잘못했어요. 죄송해요. 제발 목숨만은 살려주세요.,no
3,우진이 어머님 안녕하세요 어머 안녕하세요 찬영이 어머님 . 요즘 우진이가 저희집에 안놀러오길래 무슨일 있나 했네요. 아. 아니에요 요즘 애가 공부하느라 바빠서요 엄마 엄마가 아빠 없는 애 집가서 놀지말라고했잖아! 얘가 무슨 소리를 하는거야. 하하 아녜요. 아빠 없는 애들은 못배워서 나 버릇나빠진다고 그랬잖아. 그래서 안가는건데. 우진이 어머님 . 우진이 말이 진짜 인가요? 아. 사실 뭐 좀 그렇잖아요. 몰랐을 땐 그랬어도 알고 나니까 좀 꺼려지는 건 사실이네요 저희 찬영이 남부럽지 않게 크고 있고 항상 착하고 바르게 자라고 있는 아이에요. 너무 하시네요. 그건 뭐. 찬영이 어머님 생각이죠. 아빠없이 자라는 아들들이 뭐 얼마나 잘 크겠어요. 저흰 이만 갈게요.,no
1,이봐 거기 네? 가진거 다 내놔 경찰에 신고할거에요 신고해봐 너 가만둘거 같아? 살려주세요 살려줄게 돈 다 내놔 돈이 없어요 죽고 싶구나? 제발 살려주세요,no
0,자기야 진짜 미안해 걘 그냥 친구야 한 두번도 아니고 내가 언제까지 속아줘야 하니? 됐고 그냥 헤어지자. 내가 잘못했다고 했잖아. 미안해 진심이야. 나 자기없으면 안되는 거 알잖아. 나 죽는 거 보고싶어서 그래? 제발 그만해! 너 여기서 한발짝이라도 움직여봐 나 약 먹고 뒤지던 차도로 뛰어들던 죽어버릴거니까. 그런 협박 좀 하지마 제발. 너 불리할 때 마다 목숨 가지고 그러는 거 지겹지도 않아? 어 안지겨워. 너 붙잡을 수 있으면 내 목숨이 뭔 대수야? 그럼 그냥 죽어. 나도 더이상은 못해먹겠으니까 거짓말 아니야. 내 유서에 니 이름 세글자 적어놓고 갈거야. 내가 죽으면 다 너 탓이야. 대체 그게 왜 내탓이이야!,no
0,저기요 이거 영상으로 왜 올리셨어요? 사전에 동의하에 목소리 나간다고 말씀드렸습니다 제가 언제 동의했나요? 되게 웃긴다 주변사람들이 보고 저냐고 물어보잖아요 죄송한데요 제가 지금까지 올린 영상들 다 사전에 동의하에 올린겁니다 미리 인지를 못하시진 않았을거 아닙니까 제꺼만 내려주세요!!!!! 그렇게 할수 없습니다 영상은 다 올라갔고 지금까지 올린 영상 중 내린건 하나도 없었습니다 안내리면 카톡 대화 캡쳐해서 커뮤니티에 올리고 개인정보보호로 당신 수장시킬거야 이런식으로 하면 대화 차단할 겁니다 뭐? 차단해? 이놈시끼야?? 사람들이 나 알아보면 너때문인줄 날아 내가 너 어디사는지 아니까 찾아가서 죽여버릴꺼야야,no
3,야 뭐하냐? 만화보냐? 돌려줘.! 와 이새끼 완전 씹덕이네. 야 찬호가 보는 만화 좀 봐봐. 와 개소름 돋네. 역겹다 진짜 찬호야 너는 왜 사냐 진짜? 제발 돌려줘. 뭐래. 이건 압수. 앞으로 내 앞에서 이런 만화 보면 찢어버린다. 내 책이잖아! 돌려줘! 이 새끼 많이 컸네. 옛날 생각 나게해줘? 흐흑.,no
2,사장님 제 저작권 돌려주세요 시끄러 너가 포기 했잖아 실패작 이라면서요 됐고 너가 포기한 지금 이순간 내 저작권이야 와 이런 도둑놈을 봤나 새끼야 인생은 먹고 먹히는 세상이야 사장님 진짜 천벌받아요 이러다가 음 호랑이가 사슴을 잡아먹는다고 천벌받냐? 네? 내가 호랑이고 순진한 자네가 사슴이라고 멍청아 야이 새끼야! 에휴 그러게 자신을 믿었어야지 남을 믿으면 어쩌냐,no
0,야 이거 게임 레벌 업 시켜놔 내일까지 내일까지?? 나는 게임도 잘못하는데 공부벌레니까 게임도 잘할줄 알았는데 못하겠어? 시시간을 더줘 시시시간을 더 못주겠는데? 내일까지 레벨업 안시켜놓으면 쳐맞는거야 하루라도 시간을 더줘 야 그럴거면 내가 했지 새끼야 뭘 이렇게 불만이 많아 . 노력해볼게 노력이 아니라 되게 만들어 안그럼 진짜 너 죽기 직전까지 맞아 아. 알겠어,no
1,어서오세요! 편의점입니다. 손들어! 헛튼짓하면 쏴서 죽인다! 왜 그러세요.? 원하는게 뭐에요.? 가방에 여기 있는돈 다 담아! 살려주세요. 살고싶은면 돈 담아!! 그러면 살려줄게 안돼요. 저는 알바생일 뿐이에요. 그러니깐 빨리 담으라고!! 죽기 싫으면! 진짜 살려주실꺼죠.? 그래 빨리 담으면 사라져줄게,no
2,헐 오대리 옷 입은 거 봤어? 완전 구려. 아무도 안 말리나봐. 그러니까 직장 와서도 왕따 당하시지 와 저런 패션은 인터넷 유머글로만 있는 줄 알았는데. 오대리 옷 입는 거 좀 신경 써줄래요? 업무 효율이 안 나요. 오대리 때문에. 앗 제 옷이 그렇게 이상한가요? 네 신경 쓰겠습니다. 그럼 모르셨어요? 집에 거울이 없으세요? 화장실을 안 가시나봐요. 거울도 못 보게. 말이 좀 심하시네요들. 아 죄송해요. 제가 말이 너무 심했네요. 실수 우린 조언을 해준건데. 알겠어요,no
0,꼬마야. 여기서 먹물먹은 등신들은 다 내편인 거 같구나? . 말 하면 죽일 거다. 니들 말을 들은 사람도 죽일 거야 저 사람이 범인이에요 말하면 죽인다 그랬지!! 죽일 거라고 했다 네 말을 들은 사람도 죽일 거라고 했어!!!!!! . 나 출소하면 너부터 죽인다. . 어디 잘 숨어봐. 찾으면 다시 바로 찔러버리게 .,no
4,시험이나 면접에 불안해? 깊게 숨을 들이마시고 심호흡해 걱정은 잠시. 자신감 있게 서면 보면 다른 사람들도 나를 잘 알고. 잠시 불안해도 괜찮다.,topic
4,회사 근처에 새로운 맛집이 생겼네요! 어디 가실까요? 근처에 새로 생긴 맛집이 있는데 추천해 주세요. 그곳의 파스타 정말 유명하다는 소식이 있어요. 이번에 그 맛집에 가볼까요? 맛집 주변에 앉아서 식사하면 어떨까요?,topic
0,3기 신도시 개발 예정 구역이 어디지? . 어머니 집 주소가 노원구 광운로 맞나? .!! 왜 말을 못하지? 맞나보네? . 어 여보세요. 나야. 지금 노원구로 가서 집에 있는 사람 잡아놔. 어떻게 해도 상관없으니까 알아서하고 목숨만 붙여놔. 자. 잠시만요. 어. 끝나면 전화하고 사진 찍어서 이 번호로 보내. 잠깐!! 잠깐만 기다려요. 말할게요. 말로 할때 말을 했어야지 친구. 죄송합니다. 말씀드릴게요. 제발 어머니는 건드리지 말아주세요.,no
3,둘째도 또 딸이니? 아 . 네 . 첫째도 딸 둘째도 딸 . 너 무슨 애가 아. 딸 낳는 기계니? 죄송합니다 . 죄송하면 아들 좀 낳아 ! 딸 좀 그만 낳고 . 노력해볼께요 아휴 말만 노력한다 뭐한다 그래놓고 아들은 무슨 딸만 주구장창 낳기만하고 아휴 어머님 . 계속 딸만 낳을거면 이 집에서 당장 나가,no
2,최대리 이거 내일까지 해와 예? 지금 이것도 다 못 끝냈는데. 말대꾸하네? 그게 아니라 까라면 까야지 어디서 싸가지 없게 말대꾸야 집에서 그렇게 가르쳤어? 아니요 내가 보기엔 네 엄마가 문제야 네 교육을 잘못 가르쳤어 죄송합니다 내일까지 못해올거면 그냥 앞으로 나오지마 해오겠습니다,no
0,어떻게 너 같은 애가 우리 오빠랑 결혼을 할 수가 있어? 선아야. 무슨 말을 그렇게 해. 나 너희 오빠 정말 사랑해. 너희 오빠도 나 사랑한다고 했고. 아니? 우리 오빠가 너같은 거 불쌍해서 그러는거야. 불쌍하다니. 아니야. 우리 정말 진심이야 선아야. 제발 받아주라. 난 너 같은 거 절대 못 받아줘. 인정 못한다고 ! 내가 어떻게 해야. 날 받아줄거니.? 우리 오빠가 널 정말 사랑한다고? 니가 평생 한 쪽 손을 쓸 수 없어도 사랑해줄까? 그게 갑자기 무슨 말이야. 내가 왜 손을 못 써. 내가 널 받아주려면 니 손가락 하나라도 내가 못쓰게 만들어도 날 미워하지 않을 수 있는지 봐야겠어. 이. 이거 놔. 갑자기 왜 이래. 선아야. 제발 우리 말로하자. 응? 닥쳐. 움직이지마. 잘못하면 손가락 하나가 아니라 정말 니 손을 다 못쓰게 될 거니까. 아저씨 지금 그냥 내려 쳐주세요. 아. 안돼! 제발 .!,no
0,넌 내가 우습냐? 아니 그게 아니라. 진짜 어디 하나 다쳐봐야 정신차리겠어? 아니야 미안해 . 다음주까지야. 안 그러면 진짜 죽인다 어떻게 다음주까지. 그럼 뭐? 니 장기라도 팔까? 아니. 야 너 장기 몇 개 딴다고 누가 알 거 같아? 아무도 몰라 잘못했어 미안해.,no
